Episodio,Reward Direita,Reward Esquerda,Passos
222,3.1237499999999994,4.1241666666666665,194
223,3.6830555555555553,3.5972222222222197,187
224,3.2044444444444458,4.513611111111111,179
225,2.7926388888888893,3.897499999999999,172
226,3.7362499999999996,4.377916666666671,188
227,4.851805555555554,6.509861111111116,216
228,12.01214300900858,38.448530531348766,661
229,3.5038888888888877,4.25111111111111,175
230,6.7200000000000015,6.186388888888884,199
231,3.7758333333333356,3.666527777777779,175
232,5.195138888888888,5.676527777777781,185
233,11.305082581105186,38.83040259554941,663
234,4.036388888888889,6.27597222222222,181
235,4.426111111111104,5.844861111111108,190
236,7.233333333333337,6.845833333333339,252
237,6.207083333333335,5.162222222222224,179
238,5.6638888888888905,4.158333333333331,161
239,5.381944444444444,5.083472222222222,170
240,0.6478550155787879,27.942125860895924,506
241,25.184534579516722,12.06975667643083,584
242,5.0186111111111105,2.5570833333333343,162
243,3.7350000000000008,7.426805555555559,186
244,7.2806944444444435,5.200000000000003,191
245,5.747083333333338,4.789027777777778,160
246,4.562071560903208,28.153922956691478,499
247,3.7870833333333334,7.475000000000004,191
248,5.368472222222221,3.8630555555555524,167
249,1.8632384592338997,28.013774759258183,465
250,2.7187500000000013,7.200416666666668,170
251,6.902500000000001,3.83486111111111,166
252,2.668055555555555,6.199027777777777,173
253,32.48227982124686,19.038360287851123,944
254,25.394703759563818,6.3822800295569895,506
255,10.104497709567326,36.726907688591446,248
256,-0.2767932407581135,29.307225002507877,512
257,4.058472222222221,8.061805555555555,201
258,8.75,6.8526388888888885,244
259,4.216527777777778,8.077638888888892,239
260,7.518472222222221,5.207777777777779,204
261,8.67763888888889,6.371527777777777,246
262,29.04004861650348,6.276067821303126,601
263,3.9797222222222226,8.120972222222225,195
264,8.44763888888889,5.141805555555557,196
265,8.350972222222225,7.666527777777783,232
266,2.3356222940287115,33.43451183569163,567
267,9.592361111111119,9.120972222222221,243
268,24.70983239760033,8.011527963797176,491
269,0.21451488405718422,31.61167295069929,537
270,8.11180555555556,6.448055555555555,190
271,2.5850000000000044,6.396250000000005,165
272,3.3569444444444447,7.86944444444445,218
273,2.3034722222222226,5.843888888888892,173
274,-0.11969547786231338,27.434794747330386,483
275,3.359284570495129,34.47887384435569,629
276,23.722248943730634,3.416671710272464,447
277,8.649166666666666,7.90194444444444,210
278,2.3588888888888886,6.407916666666665,181
279,-1.4464068394373726,48.86768448730557,472
280,9.401527777777781,8.029722222222215,227
281,3.240329437009109,39.97436225177783,604
282,7.8012500000000005,6.3769444444444465,165
283,9.302499999999998,8.617638888888889,227
284,8.470833333333333,6.990555555555554,188
285,3.2205903910811564,35.19725946904731,552
286,4.039722222222223,7.685277777777776,186
287,5.966986312325316,32.35082849900903,531
288,9.198194444444438,8.110000000000005,218
289,25.18558311274738,2.5245989543624123,420
290,5.5944010258836645,33.80237582089287,635
291,5.638404357505392,32.975876885471415,611
292,0.4084767685248458,36.65543046916264,559
293,3.2486111111111113,7.34194444444444,186
294,2.1065277777777776,6.791111111111117,163
295,3.1311111111111116,8.647916666666667,209
296,4.790555555555557,7.710555555555552,219
297,0.3186476509251879,34.5402987752461,516
298,9.41527777777778,5.980972222222221,234
299,3.796666666666667,6.40777777777778,168
300,8.489861111111107,4.978472222222216,218
301,2.930555555555555,5.637638888888886,163
302,1.4407985598761126,29.917219649078223,508
303,3.3748611111111124,8.364444444444443,179
304,3.2654166666666695,8.153611111111116,179
305,8.440138888888892,4.677916666666667,196
306,6.285694444444443,7.974999999999999,202
307,8.153472222222229,5.353749999999999,216
308,3.1972222222222224,6.595972222222225,176
309,6.501944444444447,3.4943055555555547,169
310,8.15305555555555,4.450833333333329,238
311,5.2087499999999975,8.478055555555548,210
312,4.0587500000000025,8.351805555555556,185
313,6.19575844234153,30.24424666926051,598
314,4.1800000000000015,8.160972222222224,181
315,3.710277777777778,6.8425,169
316,3.8197222222222216,7.2663888888888915,167
317,2.9676762963988015,25.470093624554565,420
318,6.79444444444444,9.11152777777777,207
319,6.273333333333337,4.724861111111111,167
320,2.1933677421436375,37.93464559214357,571
321,7.693055555555551,4.042916666666668,184
322,30.2750445149129,2.2777747256846546,554
323,4.6046012891113755,25.753741092350715,445
324,6.16555555555556,3.3951388888888885,163
325,6.007916666666664,2.4754166666666677,162
326,7.516944444444448,4.833888888888887,184
327,5.456734725376036,30.753598609234878,578
328,4.06611111111111,8.485555555555557,191
329,2.734176289358796,28.68953496879578,490
330,6.871666666666666,9.407083333333333,238
